lesson,lesson_title,section,simplified
14,Prose and Poetic Expressions,core,扑通扑通
14,Prose and Poetic Expressions,core,跳
14,Prose and Poetic Expressions,core,开口
14,Prose and Poetic Expressions,core,封
14,Prose and Poetic Expressions,core,显示
14,Prose and Poetic Expressions,core,灵机一动
14,Prose and Poetic Expressions,core,聊天室
14,Prose and Poetic Expressions,core,谅解
14,Prose and Poetic Expressions,core,以下
14,Prose and Poetic Expressions,core,对话
14,Prose and Poetic Expressions,core,写道
14,Prose and Poetic Expressions,core,是否
14,Prose and Poetic Expressions,core,淅沥淅沥
14,Prose and Poetic Expressions,core,沟通
14,Prose and Poetic Expressions,core,嘀嗒嘀嗒
14,Prose and Poetic Expressions,core,忍不住
14,Prose and Poetic Expressions,core,伤心
14,Prose and Poetic Expressions,core,失望
14,Prose and Poetic Expressions,core,说声
14,Prose and Poetic Expressions,core,误会
14,Prose and Poetic Expressions,core,难过
14,Prose and Poetic Expressions,core,理
14,Prose and Poetic Expressions,core,哭
14,Prose and Poetic Expressions,core,委屈
14,Prose and Poetic Expressions,core,泪眼汪汪
14,Prose and Poetic Expressions,core,少来
14,Prose and Poetic Expressions,core,在乎
14,Prose and Poetic Expressions,core,感受
14,Prose and Poetic Expressions,core,实在
14,Prose and Poetic Expressions,core,急急忙忙
14,Prose and Poetic Expressions,core,理解
14,Prose and Poetic Expressions,core,出事
14,Prose and Poetic Expressions,core,着急
14,Prose and Poetic Expressions,core,安危
14,Prose and Poetic Expressions,core,既……又
14,Prose and Poetic Expressions,core,感动
14,Prose and Poetic Expressions,core,不瞒你说
14,Prose and Poetic Expressions,core,自从
14,Prose and Poetic Expressions,core,清楚
14,Prose and Poetic Expressions,core,噼里啪啦
14,Prose and Poetic Expressions,core,平常
14,Prose and Poetic Expressions,core,准时
14,Prose and Poetic Expressions,core,毛病
14,Prose and Poetic Expressions,core,音乐会
14,Prose and Poetic Expressions,core,保证
