lesson,lesson_title,section,simplified
12,Expressing Thanks and Appreciation,core,由于
12,Expressing Thanks and Appreciation,core,帮助
12,Expressing Thanks and Appreciation,core,解决
12,Expressing Thanks and Appreciation,core,答谢
12,Expressing Thanks and Appreciation,core,煮
12,Expressing Thanks and Appreciation,core,恭喜
12,Expressing Thanks and Appreciation,core,出院
12,Expressing Thanks and Appreciation,core,恢复
12,Expressing Thanks and Appreciation,core,啦
12,Expressing Thanks and Appreciation,core,段
12,Expressing Thanks and Appreciation,core,乱跑
12,Expressing Thanks and Appreciation,core,只好
12,Expressing Thanks and Appreciation,core,待
12,Expressing Thanks and Appreciation,core,躺
12,Expressing Thanks and Appreciation,core,整天
12,Expressing Thanks and Appreciation,core,闷死
12,Expressing Thanks and Appreciation,core,算了吧
12,Expressing Thanks and Appreciation,core,如此
12,Expressing Thanks and Appreciation,core,何必
12,Expressing Thanks and Appreciation,core,当初
12,Expressing Thanks and Appreciation,core,检查
12,Expressing Thanks and Appreciation,core,地步
12,Expressing Thanks and Appreciation,core,哎呀
12,Expressing Thanks and Appreciation,core,后悔
12,Expressing Thanks and Appreciation,core,多亏
12,Expressing Thanks and Appreciation,core,糟
12,Expressing Thanks and Appreciation,core,不幸
12,Expressing Thanks and Appreciation,core,不然
12,Expressing Thanks and Appreciation,core,后果
12,Expressing Thanks and Appreciation,core,不堪设想
12,Expressing Thanks and Appreciation,core,害
12,Expressing Thanks and Appreciation,core,趟
12,Expressing Thanks and Appreciation,core,麻烦
12,Expressing Thanks and Appreciation,core,顺便
12,Expressing Thanks and Appreciation,core,出门在外
12,Expressing Thanks and Appreciation,core,保险
12,Expressing Thanks and Appreciation,core,证明
12,Expressing Thanks and Appreciation,core,因此
12,Expressing Thanks and Appreciation,core,缺席
12,Expressing Thanks and Appreciation,core,辅导
12,Expressing Thanks and Appreciation,core,补考
12,Expressing Thanks and Appreciation,core,至于
12,Expressing Thanks and Appreciation,core,倒霉
12,Expressing Thanks and Appreciation,core,俗话
12,Expressing Thanks and Appreciation,core,靠
12,Expressing Thanks and Appreciation,core,友谊
