lesson,lesson_title,section,simplified
17,Applying for a Job,core,难道
17,Applying for a Job,core,就业
17,Applying for a Job,core,中心
17,Applying for a Job,core,就业中心
17,Applying for a Job,core,讲座
17,Applying for a Job,core,如何
17,Applying for a Job,core,简历
17,Applying for a Job,core,忘记
17,Applying for a Job,core,复杂
17,Applying for a Job,core,首先
17,Applying for a Job,core,性质
17,Applying for a Job,core,要求
17,Applying for a Job,core,调整
17,Applying for a Job,core,写法
17,Applying for a Job,core,突出
17,Applying for a Job,core,重点
17,Applying for a Job,core,拒绝
17,Applying for a Job,core,仔仔细细
17,Applying for a Job,core,修改
17,Applying for a Job,core,招聘
17,Applying for a Job,core,信息
17,Applying for a Job,core,直接
17,Applying for a Job,core,下载
17,Applying for a Job,core,表格
17,Applying for a Job,core,推荐信
17,Applying for a Job,core,恐怕
17,Applying for a Job,core,赶快
17,Applying for a Job,core,有限
17,Applying for a Job,core,考虑
17,Applying for a Job,core,安排
17,Applying for a Job,core,相信
17,Applying for a Job,core,乐意
17,Applying for a Job,core,聪明
17,Applying for a Job,core,能干
17,Applying for a Job,core,条件
17,Applying for a Job,core,但愿
