lesson,lesson_title,section,simplified
11,Caring for Others,core,被
11,Caring for Others,core,住院
11,Caring for Others,core,照顾
11,Caring for Others,core,到底
11,Caring for Others,core,回
11,Caring for Others,core,唉
11,Caring for Others,core,事情
11,Caring for Others,core,经过
11,Caring for Others,core,肚子
11,Caring for Others,core,以为
11,Caring for Others,core,管
11,Caring for Others,core,拖
11,Caring for Others,core,厉害
11,Caring for Others,core,受不了
11,Caring for Others,core,刚好
11,Caring for Others,core,情况
11,Caring for Others,core,救护车
11,Caring for Others,core,急诊室
11,Caring for Others,core,急性
11,Caring for Others,core,盲肠炎
11,Caring for Others,core,阑尾炎
11,Caring for Others,core,开刀
11,Caring for Others,core,动手术
11,Caring for Others,core,吓死
11,Caring for Others,core,手术室
11,Caring for Others,core,担心
11,Caring for Others,core,进行
11,Caring for Others,core,顺利
11,Caring for Others,core,护士
11,Caring for Others,core,推
11,Caring for Others,core,病房
11,Caring for Others,core,休养
11,Caring for Others,core,通知
11,Caring for Others,core,家人
11,Caring for Others,core,怕
11,Caring for Others,core,敢
11,Caring for Others,core,结束
11,Caring for Others,core,不要紧
11,Caring for Others,core,骂
11,Caring for Others,core,顿
11,Caring for Others,core,关心
11,Caring for Others,core,可怜
11,Caring for Others,core,父母
11,Caring for Others,core,请假
11,Caring for Others,core,早日康复
