lesson,lesson_title,section,simplified
13,Expressing Anger,core,催
13,Expressing Anger,core,吵架
13,Expressing Anger,core,心情
13,Expressing Anger,core,谈谈
13,Expressing Anger,core,建议
13,Expressing Anger,core,怎么搞的
13,Expressing Anger,core,又
13,Expressing Anger,core,心事
13,Expressing Anger,core,数码相机
13,Expressing Anger,core,数位相机
13,Expressing Anger,core,退货
13,Expressing Anger,core,陪
13,Expressing Anger,core,挂
13,Expressing Anger,core,交代
13,Expressing Anger,core,专心
13,Expressing Anger,core,高速公路
13,Expressing Anger,core,车祸
13,Expressing Anger,core,碰到
13,Expressing Anger,core,塞车
13,Expressing Anger,core,出口
13,Expressing Anger,core,禁止
13,Expressing Anger,core,通过
13,Expressing Anger,core,使
13,Expressing Anger,core,完全
13,Expressing Anger,core,动不了
13,Expressing Anger,core,刚刚
13,Expressing Anger,core,匆匆忙忙
13,Expressing Anger,core,逼
13,Expressing Anger,core,路肩
13,Expressing Anger,core,碰运气
13,Expressing Anger,core,结果
13,Expressing Anger,core,警察
13,Expressing Anger,core,抓住
13,Expressing Anger,core,罚单
13,Expressing Anger,core,迟到
13,Expressing Anger,core,声
13,Expressing Anger,core,抱怨
13,Expressing Anger,core,守时
13,Expressing Anger,core,脾气
13,Expressing Anger,core,容易
13,Expressing Anger,core,吃亏
13,Expressing Anger,core,改
13,Expressing Anger,core,道歉
13,Expressing Anger,core,原谅
