lesson,lesson_title,section,simplified
11,Ordering Food,core,红
11,Ordering Food,core,茶
11,Ordering Food,core,还是
11,Ordering Food,core,还
11,Ordering Food,core,绿
11,Ordering Food,core,服务员
11,Ordering Food,core,坐
11,Ordering Food,core,小姐
11,Ordering Food,core,先生
11,Ordering Food,core,先
11,Ordering Food,core,喝
11,Ordering Food,core,杯
11,Ordering Food,core,冰
11,Ordering Food,core,水
11,Ordering Food,core,瓶
11,Ordering Food,core,可乐
11,Ordering Food,core,面
11,Ordering Food,core,饺子
11,Ordering Food,core,盘
11,Ordering Food,core,炒
11,Ordering Food,core,十
11,Ordering Food,core,点菜
11,Ordering Food,core,点
11,Ordering Food,core,碗
11,Ordering Food,core,汤
11,Ordering Food,core,双
11,Ordering Food,core,筷子
11,Ordering Food,supplemental,饭馆
11,Ordering Food,supplemental,餐厅
11,Ordering Food,supplemental,菜单
11,Ordering Food,supplemental,小费
11,Ordering Food,supplemental,买单
11,Ordering Food,supplemental,饮料
11,Ordering Food,supplemental,果汁
11,Ordering Food,supplemental,咖啡
11,Ordering Food,supplemental,白饭
11,Ordering Food,supplemental,馄饨
11,Ordering Food,supplemental,鱼
11,Ordering Food,supplemental,海鲜
11,Ordering Food,supplemental,青菜
11,Ordering Food,supplemental,猪肉
11,Ordering Food,supplemental,肉
11,Ordering Food,supplemental,牛肉
11,Ordering Food,supplemental,鸡肉
11,Ordering Food,supplemental,豆腐
11,Ordering Food,supplemental,沙拉
11,Ordering Food,supplemental,面包
11,Ordering Food,supplemental,水果
11,Ordering Food,supplemental,甜点
11,Ordering Food,supplemental,饼干
11,Ordering Food,supplemental,蛋糕
