lesson,lesson_title,section,simplified
4,Studies,core,那
4,Studies,core,书
4,Studies,core,这
4,Studies,core,本
4,Studies,core,文学
4,Studies,core,工程
4,Studies,core,难
4,Studies,core,太
4,Studies,core,可是
4,Studies,core,功课
4,Studies,core,多
4,Studies,core,我们
4,Studies,core,们
4,Studies,core,少
4,Studies,supplemental,大学生
4,Studies,supplemental,系
4,Studies,supplemental,数学
4,Studies,supplemental,计算机
4,Studies,supplemental,电脑
4,Studies,supplemental,专业
4,Studies,supplemental,主修
4,Studies,supplemental,辅修
4,Studies,supplemental,容易
4,Studies,supplemental,忙
4,Studies,supplemental,累
4,Studies,supplemental,作业
4,Studies,supplemental,考试
4,Studies,supplemental,有点儿
4,Studies,supplemental,还好
