lesson,lesson_title,section,simplified
8,Meeting and Making Plans,core,认识
8,Meeting and Making Plans,core,去
8,Meeting and Making Plans,core,上课
8,Meeting and Making Plans,core,课
8,Meeting and Making Plans,core,下课
8,Meeting and Making Plans,core,以后
8,Meeting and Making Plans,core,事儿
8,Meeting and Making Plans,core,想
8,Meeting and Making Plans,core,回
8,Meeting and Making Plans,core,一起
8,Meeting and Making Plans,core,吃饭
8,Meeting and Making Plans,core,吃
8,Meeting and Making Plans,core,饭
8,Meeting and Making Plans,core,菜
8,Meeting and Making Plans,core,今天
8,Meeting and Making Plans,core,下次
8,Meeting and Making Plans,core,怎么样
8,Meeting and Making Plans,core,行
8,Meeting and Making Plans,core,再见
8,Meeting and Making Plans,core,再
8,Meeting and Making Plans,core,见
8,Meeting and Making Plans,supplemental,名片
8,Meeting and Making Plans,supplemental,休息
8,Meeting and Making Plans,supplemental,早饭
8,Meeting and Making Plans,supplemental,午饭
8,Meeting and Making Plans,supplemental,中饭
8,Meeting and Making Plans,supplemental,晚饭
8,Meeting and Making Plans,supplemental,宵夜
