lesson,lesson_title,section,simplified
10,Time and Schedules,core,每天
10,Time and Schedules,core,每
10,Time and Schedules,core,天
10,Time and Schedules,core,半
10,Time and Schedules,core,起床
10,Time and Schedules,core,大学
10,Time and Schedules,core,生活
10,Time and Schedules,core,学期
10,Time and Schedules,core,门
10,Time and Schedules,core,点
10,Time and Schedules,core,睡觉
10,Time and Schedules,core,就
10,Time and Schedules,core,才
10,Time and Schedules,core,刻
10,Time and Schedules,core,分
10,Time and Schedules,core,然后
10,Time and Schedules,core,图书馆
10,Time and Schedules,core,下午
10,Time and Schedules,core,喜欢
10,Time and Schedules,core,打球
10,Time and Schedules,core,球
10,Time and Schedules,core,写
10,Time and Schedules,core,信
10,Time and Schedules,core,电子邮件
10,Time and Schedules,core,地址
10,Time and Schedules,core,祝
10,Time and Schedules,core,年
10,Time and Schedules,core,月
10,Time and Schedules,core,日
10,Time and Schedules,supplemental,点钟
10,Time and Schedules,supplemental,钟头
10,Time and Schedules,supplemental,小时
10,Time and Schedules,supplemental,分钟
10,Time and Schedules,supplemental,秒
10,Time and Schedules,supplemental,过
10,Time and Schedules,supplemental,差
10,Time and Schedules,supplemental,早上
10,Time and Schedules,supplemental,早
10,Time and Schedules,supplemental,上午
10,Time and Schedules,supplemental,中午
10,Time and Schedules,supplemental,下午
10,Time and Schedules,supplemental,晚上
10,Time and Schedules,supplemental,晚
10,Time and Schedules,supplemental,现在
10,Time and Schedules,supplemental,熬夜
