lesson,lesson_title,section,simplified
9,Phone Calls,core,正在
9,Phone Calls,core,打电话
9,Phone Calls,core,打
9,Phone Calls,core,喂
9,Phone Calls,core,等一下儿
9,Phone Calls,core,等
9,Phone Calls,core,知道了
9,Phone Calls,core,知道
9,Phone Calls,core,谢谢
9,Phone Calls,core,吧
9,Phone Calls,core,对
9,Phone Calls,core,忙
9,Phone Calls,core,看
9,Phone Calls,core,电视
9,Phone Calls,core,做
9,Phone Calls,core,上网
9,Phone Calls,core,我就是
9,Phone Calls,core,位
9,Phone Calls,core,留言
9,Phone Calls,core,留话
9,Phone Calls,core,对不起
9,Phone Calls,core,什么时候
9,Phone Calls,core,时候
9,Phone Calls,core,回来
9,Phone Calls,core,晚上
9,Phone Calls,core,要
9,Phone Calls,core,给
9,Phone Calls,supplemental,占线
9,Phone Calls,supplemental,打错了
9,Phone Calls,supplemental,电影
9,Phone Calls,supplemental,网络
9,Phone Calls,supplemental,网路
9,Phone Calls,supplemental,网站
9,Phone Calls,supplemental,发短信
9,Phone Calls,supplemental,送简讯
9,Phone Calls,supplemental,通
9,Phone Calls,supplemental,睡觉
9,Phone Calls,supplemental,不客气
9,Phone Calls,supplemental,不谢
