lesson,lesson_title,section,simplified
7,Addresses,core,住
7,Addresses,core,哪儿
7,Addresses,core,宿舍
7,Addresses,core,多少
7,Addresses,core,号
7,Addresses,core,房间
7,Addresses,core,大
7,Addresses,core,电话
7,Addresses,core,电
7,Addresses,core,小
7,Addresses,core,号码
7,Addresses,core,二
7,Addresses,core,三
7,Addresses,core,五
7,Addresses,core,六
7,Addresses,core,七
7,Addresses,core,八
7,Addresses,core,九
7,Addresses,core,手机
7,Addresses,core,手
7,Addresses,core,机
7,Addresses,core,校外
7,Addresses,core,校
7,Addresses,core,外
7,Addresses,supplemental,校内
7,Addresses,supplemental,内
7,Addresses,supplemental,公寓
7,Addresses,supplemental,房子
7,Addresses,supplemental,十
7,Addresses,supplemental,零
