lesson,lesson_title,section,simplified
3,Nationalities and Languages,core,哪
3,Nationalities and Languages,core,国
3,Nationalities and Languages,core,人
3,Nationalities and Languages,core,很
3,Nationalities and Languages,core,对了
3,Nationalities and Languages,core,法国
3,Nationalities and Languages,core,美国
3,Nationalities and Languages,core,英国
3,Nationalities and Languages,core,中国
3,Nationalities and Languages,core,说
3,Nationalities and Languages,core,会
3,Nationalities and Languages,core,一点儿
3,Nationalities and Languages,core,儿
3,Nationalities and Languages,core,法文
3,Nationalities and Languages,core,和
3,Nationalities and Languages,supplemental,德国
3,Nationalities and Languages,supplemental,韩国
3,Nationalities and Languages,supplemental,加拿大
3,Nationalities and Languages,supplemental,墨西哥
3,Nationalities and Languages,supplemental,日本
3,Nationalities and Languages,supplemental,西班牙
3,Nationalities and Languages,supplemental,语言
