lesson,lesson_title,section,simplified
6,Family,core,家
6,Family,core,大家
6,Family,core,从
6,Family,core,在
6,Family,core,一
6,Family,core,四
6,Family,core,爸爸
6,Family,core,妈妈
6,Family,core,姐姐
6,Family,core,工作
6,Family,core,工程师
6,Family,core,男朋友
6,Family,core,男
6,Family,core,没有
6,Family,core,辆
6,Family,core,车
6,Family,core,只
6,Family,core,狗
6,Family,core,爱
6,Family,supplemental,兄弟姐妹
6,Family,supplemental,哥哥
6,Family,supplemental,妹妹
6,Family,supplemental,弟弟
6,Family,supplemental,女朋友
6,Family,supplemental,女
6,Family,supplemental,孩子
6,Family,supplemental,宠物
6,Family,supplemental,猫
6,Family,supplemental,爷爷
6,Family,supplemental,外公
6,Family,supplemental,奶奶
6,Family,supplemental,外婆
6,Family,supplemental,商人
6,Family,supplemental,医生
6,Family,supplemental,护士
6,Family,supplemental,家庭主妇
6,Family,supplemental,律师
6,Family,supplemental,厨师
