lesson,lesson_title,section,simplified
18,Travel and Transportation,core,火车
18,Travel and Transportation,core,旅行
18,Travel and Transportation,core,离
18,Travel and Transportation,core,学校
18,Travel and Transportation,core,远
18,Travel and Transportation,core,只要
18,Travel and Transportation,core,分钟
18,Travel and Transportation,core,骑
18,Travel and Transportation,core,自行车
18,Travel and Transportation,core,公共汽车
18,Travel and Transportation,core,走路
18,Travel and Transportation,core,路
18,Travel and Transportation,core,近
18,Travel and Transportation,core,西部
18,Travel and Transportation,core,先
18,Travel and Transportation,core,风景
18,Travel and Transportation,core,船
18,Travel and Transportation,core,南部
18,Travel and Transportation,core,听说
18,Travel and Transportation,core,听
18,Travel and Transportation,core,海边
18,Travel and Transportation,core,景色
18,Travel and Transportation,core,一共
18,Travel and Transportation,core,租
18,Travel and Transportation,supplemental,海滩
18,Travel and Transportation,supplemental,东
18,Travel and Transportation,supplemental,北
18,Travel and Transportation,supplemental,旺季
18,Travel and Transportation,supplemental,淡季
18,Travel and Transportation,supplemental,单车
18,Travel and Transportation,supplemental,脚踏车
18,Travel and Transportation,supplemental,汽车
18,Travel and Transportation,supplemental,摩托车
18,Travel and Transportation,supplemental,机车
18,Travel and Transportation,supplemental,出租汽车
18,Travel and Transportation,supplemental,计程车
18,Travel and Transportation,supplemental,火车
18,Travel and Transportation,supplemental,公车
18,Travel and Transportation,supplemental,巴士
18,Travel and Transportation,supplemental,车站
18,Travel and Transportation,supplemental,捷运
18,Travel and Transportation,supplemental,地铁
18,Travel and Transportation,supplemental,马路
18,Travel and Transportation,supplemental,地下道
18,Travel and Transportation,supplemental,隧道
18,Travel and Transportation,supplemental,码头
18,Travel and Transportation,supplemental,司机
