lesson,lesson_title,section,simplified
14,Birthdays and Celebrations,core,岁
14,Birthdays and Celebrations,core,有空
14,Birthdays and Celebrations,core,星期
14,Birthdays and Celebrations,core,星期六
14,Birthdays and Celebrations,core,过
14,Birthdays and Celebrations,core,生日
14,Birthdays and Celebrations,core,为
14,Birthdays and Celebrations,core,舞会
14,Birthdays and Celebrations,core,舞
14,Birthdays and Celebrations,core,请
14,Birthdays and Celebrations,core,参加
14,Birthdays and Celebrations,core,一定
14,Birthdays and Celebrations,core,做
14,Birthdays and Celebrations,core,蛋糕
14,Birthdays and Celebrations,core,送
14,Birthdays and Celebrations,core,棒
14,Birthdays and Celebrations,core,不客气
14,Birthdays and Celebrations,core,多大
14,Birthdays and Celebrations,core,地图
14,Birthdays and Celebrations,supplemental,日历
14,Birthdays and Celebrations,supplemental,月历
14,Birthdays and Celebrations,supplemental,庆生
14,Birthdays and Celebrations,supplemental,礼物
14,Birthdays and Celebrations,supplemental,吹
14,Birthdays and Celebrations,supplemental,蜡烛
14,Birthdays and Celebrations,supplemental,晚会
14,Birthdays and Celebrations,supplemental,跳舞
14,Birthdays and Celebrations,supplemental,听
14,Birthdays and Celebrations,supplemental,音乐
14,Birthdays and Celebrations,supplemental,唱歌
14,Birthdays and Celebrations,supplemental,祝你生日快乐
