lesson,lesson_title,section,simplified
19,Health and Medicine,core,感冒
19,Health and Medicine,core,饿
19,Health and Medicine,core,怎么了
19,Health and Medicine,core,好像
19,Health and Medicine,core,舒服
19,Health and Medicine,core,头疼
19,Health and Medicine,core,头
19,Health and Medicine,core,疼
19,Health and Medicine,core,发烧
19,Health and Medicine,core,咳嗽
19,Health and Medicine,core,生病
19,Health and Medicine,core,病
19,Health and Medicine,core,考试
19,Health and Medicine,core,复习
19,Health and Medicine,core,所以
19,Health and Medicine,core,医生
19,Health and Medicine,core,吃药
19,Health and Medicine,core,药
19,Health and Medicine,core,地
19,Health and Medicine,core,休息
19,Health and Medicine,core,准备
19,Health and Medicine,core,笔记
19,Health and Medicine,core,感谢
19,Health and Medicine,core,送
19,Health and Medicine,supplemental,医务室
19,Health and Medicine,supplemental,医护室
19,Health and Medicine,supplemental,打针
19,Health and Medicine,supplemental,护士
19,Health and Medicine,supplemental,医院
19,Health and Medicine,supplemental,诊所
19,Health and Medicine,supplemental,严重
19,Health and Medicine,supplemental,厉害
19,Health and Medicine,supplemental,体温
19,Health and Medicine,supplemental,流感
19,Health and Medicine,supplemental,流行性感冒
19,Health and Medicine,supplemental,预防针
19,Health and Medicine,supplemental,流感疫苗
