lesson,lesson_title,section,simplified
16,Hobbies and Sports,core,篮球
16,Hobbies and Sports,core,得
16,Hobbies and Sports,core,俩
16,Hobbies and Sports,core,教练
16,Hobbies and Sports,core,教
16,Hobbies and Sports,core,游泳
16,Hobbies and Sports,core,非常
16,Hobbies and Sports,core,快
16,Hobbies and Sports,core,体育馆
16,Hobbies and Sports,core,游泳池
16,Hobbies and Sports,core,健身房
16,Hobbies and Sports,core,锻炼
16,Hobbies and Sports,core,现在
16,Hobbies and Sports,core,昨天
16,Hobbies and Sports,core,球赛
16,Hobbies and Sports,core,作业
16,Hobbies and Sports,core,包
16,Hobbies and Sports,core,慢
16,Hobbies and Sports,supplemental,社团
16,Hobbies and Sports,supplemental,俱乐部
16,Hobbies and Sports,supplemental,球季
16,Hobbies and Sports,supplemental,运动
16,Hobbies and Sports,supplemental,骑自行车
16,Hobbies and Sports,supplemental,滑雪
16,Hobbies and Sports,supplemental,爬山
16,Hobbies and Sports,supplemental,远足
16,Hobbies and Sports,supplemental,棒球
16,Hobbies and Sports,supplemental,橄榄球
16,Hobbies and Sports,supplemental,足球
16,Hobbies and Sports,supplemental,网球
16,Hobbies and Sports,supplemental,跑步
16,Hobbies and Sports,supplemental,跑
16,Hobbies and Sports,supplemental,步
