lesson,lesson_title,section,simplified
20,Renting an Apartment,core,把
20,Renting an Apartment,core,带来
20,Renting an Apartment,core,啊
20,Renting an Apartment,core,搬
20,Renting an Apartment,core,出
20,Renting an Apartment,core,出去
20,Renting an Apartment,core,过来
20,Renting an Apartment,core,做饭
20,Renting an Apartment,core,没关系
20,Renting an Apartment,core,以前
20,Renting an Apartment,core,但是
20,Renting an Apartment,core,女朋友
20,Renting an Apartment,core,必须
20,Renting an Apartment,core,第一天
20,Renting an Apartment,core,第一
20,Renting an Apartment,core,第
20,Renting an Apartment,core,付
20,Renting an Apartment,core,房租
20,Renting an Apartment,core,楼上
20,Renting an Apartment,core,马上
20,Renting an Apartment,supplemental,搬家
20,Renting an Apartment,supplemental,房东
20,Renting an Apartment,supplemental,房客
20,Renting an Apartment,supplemental,签约
20,Renting an Apartment,supplemental,租屋
20,Renting an Apartment,supplemental,楼下
