lesson,lesson_title,section,simplified
17,Weather and Seasons,core,春天
17,Weather and Seasons,core,久
17,Weather and Seasons,core,时间
17,Weather and Seasons,core,过
17,Weather and Seasons,core,放
17,Weather and Seasons,core,春假
17,Weather and Seasons,core,气候
17,Weather and Seasons,core,夏
17,Weather and Seasons,core,秋
17,Weather and Seasons,core,冬
17,Weather and Seasons,core,其中
17,Weather and Seasons,core,最
17,Weather and Seasons,core,暖和
17,Weather and Seasons,core,短
17,Weather and Seasons,core,有时候
17,Weather and Seasons,core,热
17,Weather and Seasons,core,华氏
17,Weather and Seasons,core,百
17,Weather and Seasons,core,度
17,Weather and Seasons,core,极
17,Weather and Seasons,core,刮风
17,Weather and Seasons,core,风
17,Weather and Seasons,core,下雨
17,Weather and Seasons,core,雨
17,Weather and Seasons,core,冷
17,Weather and Seasons,core,下雪
17,Weather and Seasons,core,雪
17,Weather and Seasons,core,见面
17,Weather and Seasons,core,面
17,Weather and Seasons,supplemental,放假
17,Weather and Seasons,supplemental,寒假
17,Weather and Seasons,supplemental,暑假
17,Weather and Seasons,supplemental,假期
17,Weather and Seasons,supplemental,四季
17,Weather and Seasons,supplemental,天气
17,Weather and Seasons,supplemental,晴
17,Weather and Seasons,supplemental,阴
17,Weather and Seasons,supplemental,凉
17,Weather and Seasons,supplemental,摄氏
17,Weather and Seasons,supplemental,长
17,Weather and Seasons,supplemental,气温
