lesson,lesson_title,section,simplified
13,Clothes and Shopping,core,买
13,Clothes and Shopping,core,件
13,Clothes and Shopping,core,衬衫
13,Clothes and Shopping,core,店员
13,Clothes and Shopping,core,店
13,Clothes and Shopping,core,条
13,Clothes and Shopping,core,裙子
13,Clothes and Shopping,core,或者
13,Clothes and Shopping,core,裤子
13,Clothes and Shopping,core,黄
13,Clothes and Shopping,core,不错
13,Clothes and Shopping,core,比较
13,Clothes and Shopping,core,穿
13,Clothes and Shopping,core,黑
13,Clothes and Shopping,core,试试
13,Clothes and Shopping,core,帮
13,Clothes and Shopping,core,好看
13,Clothes and Shopping,core,让
13,Clothes and Shopping,core,觉得
13,Clothes and Shopping,core,钱
13,Clothes and Shopping,core,块
13,Clothes and Shopping,core,张
13,Clothes and Shopping,core,电影
13,Clothes and Shopping,core,票
13,Clothes and Shopping,supplemental,贵
13,Clothes and Shopping,supplemental,便宜
13,Clothes and Shopping,supplemental,卖
13,Clothes and Shopping,supplemental,几号
13,Clothes and Shopping,supplemental,大
13,Clothes and Shopping,supplemental,中
13,Clothes and Shopping,supplemental,小
13,Clothes and Shopping,supplemental,衣服
13,Clothes and Shopping,supplemental,外套
13,Clothes and Shopping,supplemental,毛衣
13,Clothes and Shopping,supplemental,T-恤衫
13,Clothes and Shopping,supplemental,短裤
13,Clothes and Shopping,supplemental,牛仔裤
13,Clothes and Shopping,supplemental,鞋子
13,Clothes and Shopping,supplemental,袜子
13,Clothes and Shopping,supplemental,脱
13,Clothes and Shopping,supplemental,戴
13,Clothes and Shopping,supplemental,摘
13,Clothes and Shopping,supplemental,手表
13,Clothes and Shopping,supplemental,眼镜
13,Clothes and Shopping,supplemental,耳环
13,Clothes and Shopping,supplemental,帽子
13,Clothes and Shopping,supplemental,颜色
13,Clothes and Shopping,supplemental,橙色
13,Clothes and Shopping,supplemental,蓝色
13,Clothes and Shopping,supplemental,紫色
13,Clothes and Shopping,supplemental,棕色
13,Clothes and Shopping,supplemental,金黄色
13,Clothes and Shopping,supplemental,银灰色
13,Clothes and Shopping,supplemental,人民币
13,Clothes and Shopping,supplemental,新台币
13,Clothes and Shopping,supplemental,港币
13,Clothes and Shopping,supplemental,美金
