lesson,lesson_title,section,simplified
15,Location and Position,core,前边
15,Location and Position,core,参观
15,Location and Position,core,欢迎
15,Location and Position,core,里边
15,Location and Position,core,里
15,Location and Position,core,厨房
15,Location and Position,core,公用
15,Location and Position,core,旁边
15,Location and Position,core,进
15,Location and Position,core,客厅
15,Location and Position,core,走
15,Location and Position,core,对面
15,Location and Position,core,餐厅
15,Location and Position,core,洗澡间
15,Location and Position,core,卧室
15,Location and Position,core,中间
15,Location and Position,core,桌子
15,Location and Position,core,上边
15,Location and Position,core,学习
15,Location and Position,core,后边
15,Location and Position,core,公园
15,Location and Position,core,真
15,Location and Position,supplemental,左边
15,Location and Position,supplemental,右边
15,Location and Position,supplemental,下边
15,Location and Position,supplemental,间
15,Location and Position,supplemental,门
15,Location and Position,supplemental,书桌
15,Location and Position,supplemental,窗户
15,Location and Position,supplemental,椅子
15,Location and Position,supplemental,衣橱
15,Location and Position,supplemental,床
15,Location and Position,supplemental,厕所
15,Location and Position,supplemental,杂志
15,Location and Position,supplemental,乱
15,Location and Position,supplemental,整齐
15,Location and Position,supplemental,干净
15,Location and Position,supplemental,脏
