lesson,lesson_title,section,simplified
21,Future Plans,core,暑假
21,Future Plans,core,毕业
21,Future Plans,core,决定
21,Future Plans,core,可能
21,Future Plans,core,申请
21,Future Plans,core,研究生院
21,Future Plans,core,研究
21,Future Plans,core,国外
21,Future Plans,core,留学
21,Future Plans,core,找
21,Future Plans,core,打工
21,Future Plans,core,家
21,Future Plans,core,公司
21,Future Plans,core,实习
21,Future Plans,core,电脑
21,Future Plans,core,暑期
21,Future Plans,core,班
21,Future Plans,core,一面
21,Future Plans,core,有意思
21,Future Plans,core,愉快
21,Future Plans,core,一路平安
21,Future Plans,core,平安
21,Future Plans,core,好运
21,Future Plans,supplemental,大学生
21,Future Plans,supplemental,研究生
21,Future Plans,supplemental,博士生
21,Future Plans,supplemental,学位
21,Future Plans,supplemental,学士
21,Future Plans,supplemental,硕士
21,Future Plans,supplemental,博士
21,Future Plans,supplemental,简历
21,Future Plans,supplemental,履历表
