lesson,lesson_title,section,simplified
3,Asking for Directions,core,往
3,Asking for Directions,core,各位
3,Asking for Directions,core,旅客
3,Asking for Directions,core,降落
3,Asking for Directions,core,安全带
3,Asking for Directions,core,系上
3,Asking for Directions,core,计算机
3,Asking for Directions,core,电子
3,Asking for Directions,core,用品
3,Asking for Directions,core,搭乘
3,Asking for Directions,core,航空
3,Asking for Directions,core,出租
3,Asking for Directions,core,旅馆
3,Asking for Directions,core,路人
3,Asking for Directions,core,栋
3,Asking for Directions,core,交叉口
3,Asking for Directions,core,左
3,Asking for Directions,core,拐
3,Asking for Directions,core,一直
3,Asking for Directions,core,路口
3,Asking for Directions,core,司机
3,Asking for Directions,core,假日
3,Asking for Directions,core,公里
3,Asking for Directions,core,后车箱
3,Asking for Directions,core,发展
3,Asking for Directions,core,变化
3,Asking for Directions,core,本来
3,Asking for Directions,core,农田
3,Asking for Directions,core,变成
3,Asking for Directions,core,马路
3,Asking for Directions,core,啊
3,Asking for Directions,core,公尺
3,Asking for Directions,core,红绿灯
3,Asking for Directions,core,向
3,Asking for Directions,core,右
3,Asking for Directions,core,转
3,Asking for Directions,core,小吃店
3,Asking for Directions,core,弯儿
3,Asking for Directions,core,车费
3,Asking for Directions,core,找
