lesson,lesson_title,section,simplified
1,Moving to a New Place,core,倒
1,Moving to a New Place,core,别
1,Moving to a New Place,core,房东
1,Moving to a New Place,core,树
1,Moving to a New Place,core,撞
1,Moving to a New Place,core,坏
1,Moving to a New Place,core,呀
1,Moving to a New Place,core,小心
1,Moving to a New Place,core,镜子
1,Moving to a New Place,core,破
1,Moving to a New Place,core,分工合作
1,Moving to a New Place,core,主意
1,Moving to a New Place,core,负责
1,Moving to a New Place,core,行李
1,Moving to a New Place,core,放
1,Moving to a New Place,core,装
1,Moving to a New Place,core,扫
1,Moving to a New Place,core,整理
1,Moving to a New Place,core,箱子
1,Moving to a New Place,core,衣服
1,Moving to a New Place,core,挂
1,Moving to a New Place,core,累
1,Moving to a New Place,core,请客
1,Moving to a New Place,core,死
1,Moving to a New Place,core,附近
1,Moving to a New Place,core,忘
1,Moving to a New Place,core,门
1,Moving to a New Place,core,窗
1,Moving to a New Place,core,关上
1,Moving to a New Place,core,外套
1,Moving to a New Place,core,咱们
