lesson,lesson_title,section,simplified
6,Opening a Bank Account,core,银行
6,Opening a Bank Account,core,开
6,Opening a Bank Account,core,账户
6,Opening a Bank Account,core,存
6,Opening a Bank Account,core,款
6,Opening a Bank Account,core,取
6,Opening a Bank Account,core,方便
6,Opening a Bank Account,core,利率
6,Opening a Bank Account,core,高
6,Opening a Bank Account,core,储蓄
6,Opening a Bank Account,core,百分之
6,Opening a Bank Account,core,利息
6,Opening a Bank Account,core,支票
6,Opening a Bank Account,core,职员
6,Opening a Bank Account,core,低
6,Opening a Bank Account,core,种
6,Opening a Bank Account,core,差不多
6,Opening a Bank Account,core,够
6,Opening a Bank Account,core,单子
6,Opening a Bank Account,core,填
6,Opening a Bank Account,core,千
6,Opening a Bank Account,core,元
6,Opening a Bank Account,core,寄
6,Opening a Bank Account,core,簿
6,Opening a Bank Account,core,拿
6,Opening a Bank Account,core,取款卡
6,Opening a Bank Account,core,自动
6,Opening a Bank Account,core,取款机
6,Opening a Bank Account,core,现金
6,Opening a Bank Account,core,申请
6,Opening a Bank Account,core,信用卡
6,Opening a Bank Account,core,当然
6,Opening a Bank Account,core,表
6,Opening a Bank Account,core,换
6,Opening a Bank Account,core,汇率
6,Opening a Bank Account,core,兑换
6,Opening a Bank Account,core,外币
6,Opening a Bank Account,core,柜台
