lesson,lesson_title,section,simplified
2,Experiencing Culture and the Arts,core,墙
2,Experiencing Culture and the Arts,core,着
2,Experiencing Culture and the Arts,core,照片
2,Experiencing Culture and the Arts,core,服装
2,Experiencing Culture and the Arts,core,舞台
2,Experiencing Culture and the Arts,core,摆
2,Experiencing Culture and the Arts,core,各种
2,Experiencing Culture and the Arts,core,乐器
2,Experiencing Culture and the Arts,core,演员
2,Experiencing Culture and the Arts,core,表演
2,Experiencing Culture and the Arts,core,乐师
2,Experiencing Culture and the Arts,core,打
2,Experiencing Culture and the Arts,core,鼓
2,Experiencing Culture and the Arts,core,拉
2,Experiencing Culture and the Arts,core,胡琴
2,Experiencing Culture and the Arts,core,弹奏
2,Experiencing Culture and the Arts,core,自己
2,Experiencing Culture and the Arts,core,出
2,Experiencing Culture and the Arts,core,戏
2,Experiencing Culture and the Arts,core,画
2,Experiencing Culture and the Arts,core,脸
2,Experiencing Culture and the Arts,core,拿
2,Experiencing Culture and the Arts,core,把
2,Experiencing Culture and the Arts,core,刀
2,Experiencing Culture and the Arts,core,神气
2,Experiencing Culture and the Arts,core,座位
2,Experiencing Culture and the Arts,core,满
2,Experiencing Culture and the Arts,core,观众
2,Experiencing Culture and the Arts,core,站
2,Experiencing Culture and the Arts,core,一言为定
