lesson,lesson_title,section,simplified
7,Traveling and Visas,core,寒假
7,Traveling and Visas,core,旅游
7,Traveling and Visas,core,旅行社
7,Traveling and Visas,core,订
7,Traveling and Visas,core,机票
7,Traveling and Visas,core,羡慕
7,Traveling and Visas,core,打算
7,Traveling and Visas,core,亲戚
7,Traveling and Visas,core,原来
7,Traveling and Visas,core,抽空
7,Traveling and Visas,core,拜访
7,Traveling and Visas,core,一直
7,Traveling and Visas,core,查
7,Traveling and Visas,core,网站
7,Traveling and Visas,core,买不起
7,Traveling and Visas,core,买到
7,Traveling and Visas,core,找得到
7,Traveling and Visas,core,便宜
7,Traveling and Visas,core,其实
7,Traveling and Visas,core,要是
7,Traveling and Visas,core,南方
7,Traveling and Visas,core,四季如春
7,Traveling and Visas,core,风景如画
7,Traveling and Visas,core,少数民族
7,Traveling and Visas,core,如果
7,Traveling and Visas,core,签证
7,Traveling and Visas,core,办
7,Traveling and Visas,core,大概
7,Traveling and Visas,core,来得及
