lesson,lesson_title,section,simplified
9,Fitness and Health,core,越来越
9,Fitness and Health,core,需要
9,Fitness and Health,core,钟头
9,Fitness and Health,core,瘦
9,Fitness and Health,core,减肥
9,Fitness and Health,core,坚持
9,Fitness and Health,core,体重
9,Fitness and Health,core,轻
9,Fitness and Health,core,磅
9,Fitness and Health,core,怪不得
9,Fitness and Health,core,苗条
9,Fitness and Health,core,女孩子
9,Fitness and Health,core,控制
9,Fitness and Health,core,饮食
9,Fitness and Health,core,注意
9,Fitness and Health,core,甜食
9,Fitness and Health,core,早
9,Fitness and Health,core,个子
9,Fitness and Health,core,矮
9,Fitness and Health,core,尺
9,Fitness and Health,core,时
9,Fitness and Health,core,超过
9,Fitness and Health,core,灵活
9,Fitness and Health,core,总是
9,Fitness and Health,core,重要
9,Fitness and Health,core,更
