lesson,lesson_title,section,simplified
5,My Trip to China – Review,core,阴
5,My Trip to China – Review,core,终于
5,My Trip to China – Review,core,本来
5,My Trip to China – Review,core,飞行
5,My Trip to China – Review,core,转机
5,My Trip to China – Review,core,误点
5,My Trip to China – Review,core,赶上
5,My Trip to China – Review,core,班机
5,My Trip to China – Review,core,热情
5,My Trip to China – Review,core,好客
5,My Trip to China – Review,core,津津有味
5,My Trip to China – Review,core,大开眼界
5,My Trip to China – Review,core,团
5,My Trip to China – Review,core,方向
5,My Trip to China – Review,core,闹
5,My Trip to China – Review,core,笑话
5,My Trip to China – Review,core,繁荣
5,My Trip to China – Review,core,大厦
5,My Trip to China – Review,core,虽然
5,My Trip to China – Review,core,别人
5,My Trip to China – Review,core,小吃
5,My Trip to China – Review,core,挺
5,My Trip to China – Review,core,值得
